State,District,Location,Latitude,Longitude,Population,Cattle_Count,Poultry_Count,Cluster_ID,Recommended_Hub,Human_Waste_kg_day,Animal_Waste_kg_day,Total_Waste_kg_day,Estimated_Methane_m3_day,CO2e_Reduction_kg_day
Maharashtra,Pune,Pune_Village_18,18.7004,74.03670000000001,259200,11340,27000,3,Hub_3,103680.0,113400.0,217080.0,86832.0,173664.0
Maharashtra,Pune,Pune_Village_19,18.7104,74.0467,273600,11970,28500,3,Hub_3,109440.0,119700.0,229140.0,91656.0,183312.0
Maharashtra,Pune,Pune_Village_20,18.720399999999998,74.0567,288000,12600,30000,3,Hub_3,115200.0,126000.0,241200.0,96480.0,192960.0
Maharashtra,Pune,Pune_Village_21,18.7304,74.0667,302400,13230,31500,3,Hub_3,120960.0,132300.0,253260.0,101304.0,202608.0
Maharashtra,Pune,Pune_Village_22,18.740399999999998,74.0767,316800,13860,33000,3,Hub_3,126720.0,138600.0,265320.0,106128.0,212256.0
Maharashtra,Pune,Pune_Village_23,18.7504,74.08670000000001,331200,14490,34500,3,Hub_3,132480.0,144900.0,277380.0,110952.0,221904.0
Maharashtra,Pune,Pune_Village_24,18.760399999999997,74.0967,345600,15120,36000,3,Hub_3,138240.0,151200.0,289440.0,115776.0,231552.0
Maharashtra,Pune,Pune_Village_25,18.7704,74.1067,360000,15750,37500,3,Hub_3,144000.0,157500.0,301500.0,120600.0,241200.0
Maharashtra,Pune,Pune_Village_26,18.7804,74.11670000000001,374400,16380,39000,3,Hub_3,149760.0,163800.0,313560.0,125424.0,250848.0
Maharashtra,Pune,Pune_Village_27,18.790399999999998,74.1267,388800,17010,40500,3,Hub_3,155520.0,170100.0,325620.0,130248.0,260496.0
Maharashtra,Pune,Pune_Village_28,18.8004,74.1367,403200,17640,42000,3,Hub_3,161280.0,176400.0,337680.0,135072.0,270144.0
Maharashtra,Pune,Pune_Village_29,18.810399999999998,74.14670000000001,417600,18270,43500,3,Hub_3,167040.0,182700.0,349740.0,139896.0,279792.0
Maharashtra,Pune,Pune_Village_30,18.8204,74.1567,432000,18900,45000,3,Hub_3,172800.0,189000.0,361800.0,144720.0,289440.0
Maharashtra,Pune,Pune_Village_31,18.830399999999997,74.1667,446400,19530,46500,3,Hub_3,178560.0,195300.0,373860.0,149544.0,299088.0
Maharashtra,Pune,Pune_Village_32,18.8404,74.1767,460800,20160,48000,3,Hub_3,184320.0,201600.0,385920.0,154368.0,308736.0
Maharashtra,Pune,Pune_Village_33,18.850399999999997,74.1867,475200,20790,49500,3,Hub_3,190080.0,207900.0,397980.0,159192.0,318384.0
Maharashtra,Pune,Pune_Village_34,18.8604,74.1967,489600,21420,51000,3,Hub_3,195840.0,214200.0,410040.0,164016.0,328032.0
Maharashtra,Pune,Pune_Village_35,18.8704,74.2067,504000,22050,52500,3,Hub_3,201600.0,220500.0,422100.0,168840.0,337680.0
Maharashtra,Pune,Pune_Village_36,18.880399999999998,74.2167,518400,22680,54000,3,Hub_3,207360.0,226800.0,434160.0,173664.0,347328.0
Maharashtra,Pune,Pune_Village_37,18.8904,74.22670000000001,532800,23310,55500,3,Hub_3,213120.0,233100.0,446220.0,178488.0,356976.0
Maharashtra,Pune,Pune_Village_38,18.900399999999998,74.2367,547200,23940,57000,3,Hub_3,218880.0,239400.0,458280.0,183312.0,366624.0
Maharashtra,Pune,Pune_Village_39,18.9104,74.2467,561600,24570,58500,3,Hub_3,224640.0,245700.0,470340.0,188136.0,376272.0
Maharashtra,Pune,Pune_Village_40,18.920399999999997,74.25670000000001,576000,25200,60000,3,Hub_3,230400.0,252000.0,482400.0,192960.0,385920.0
Maharashtra,Pune,Pune_Village_41,18.9304,74.2667,590400,25830,61500,3,Hub_3,236160.0,258300.0,494460.0,197784.0,395568.0
Maharashtra,Pune,Pune_Village_42,18.9404,74.2767,604800,26460,63000,3,Hub_3,241920.0,264600.0,506520.0,202608.0,405216.0
Maharashtra,Pune,Pune_Village_43,18.9504,74.28670000000001,619200,27090,64500,3,Hub_3,247680.0,270900.0,518580.0,207432.0,414864.0
Maharashtra,Pune,Pune_Village_44,18.9604,74.2967,633600,27720,66000,3,Hub_3,253440.0,277200.0,530640.0,212256.0,424512.0
Maharashtra,Pune,Pune_Village_45,18.970399999999998,74.3067,648000,28350,67500,3,Hub_3,259200.0,283500.0,542700.0,217080.0,434160.0
Maharashtra,Pune,Pune_Village_46,18.9804,74.3167,662400,28980,69000,3,Hub_3,264960.0,289800.0,554760.0,221904.0,443808.0
Maharashtra,Pune,Pune_Village_47,18.990399999999998,74.3267,676800,29610,70500,3,Hub_3,270720.0,296100.0,566820.0,226728.0,453456.0
Maharashtra,Pune,Pune_Village_48,19.0004,74.33670000000001,691200,30240,72000,3,Hub_3,276480.0,302400.0,578880.0,231552.0,463104.0
Maharashtra,Pune,Pune_Village_49,19.010399999999997,74.3467,705600,30870,73500,3,Hub_3,282240.0,308700.0,590940.0,236376.0,472752.0
Maharashtra,Pune,Pune_Village_50,19.0204,74.3567,720000,31500,75000,3,Hub_3,288000.0,315000.0,603000.0,241200.0,482400.0
Maharashtra,Solapur,Solapur_Village_1,17.669900000000002,75.91640000000001,2000,360,600,4,Hub_4,800.0,3600.0,4400.0,1760.0,3520.0
Maharashtra,Solapur,Solapur_Village_2,17.6799,75.9264,4000,720,1200,4,Hub_4,1600.0,7200.0,8800.0,3520.0,7040.0
Maharashtra,Solapur,Solapur_Village_3,17.6899,75.9364,6000,1080,1800,4,Hub_4,2400.0,10800.0,13200.0,5280.0,10560.0
Maharashtra,Solapur,Solapur_Village_4,17.6999,75.94640000000001,8000,1440,2400,4,Hub_4,3200.0,14400.0,17600.0,7040.0,14080.0
Maharashtra,Solapur,Solapur_Village_5,17.7099,75.9564,10000,1800,3000,4,Hub_4,4000.0,18000.0,22000.0,8800.0,17600.0
Maharashtra,Solapur,Solapur_Village_6,17.7199,75.96640000000001,12000,2160,3600,4,Hub_4,4800.0,21600.0,26400.0,10560.0,21120.0
Maharashtra,Solapur,Solapur_Village_7,17.7299,75.9764,14000,2520,4200,4,Hub_4,5600.0,25200.0,30800.0,12320.0,24640.0
Maharashtra,Solapur,Solapur_Village_8,17.7399,75.9864,16000,2880,4800,4,Hub_4,6400.0,28800.0,35200.0,14080.0,28160.0
Maharashtra,Solapur,Solapur_Village_9,17.7499,75.99640000000001,18000,3240,5400,4,Hub_4,7200.0,32400.0,39600.0,15840.0,31680.0
Maharashtra,Solapur,Solapur_Village_10,17.759900000000002,76.0064,20000,3600,6000,4,Hub_4,8000.0,36000.0,44000.0,17600.0,35200.0
Maharashtra,Solapur,Solapur_Village_11,17.7699,76.0164,22000,3960,6600,4,Hub_4,8800.0,39600.0,48400.0,19360.0,38720.0
Maharashtra,Solapur,Solapur_Village_12,17.7799,76.02640000000001,24000,4320,7200,4,Hub_4,9600.0,43200.0,52800.0,21120.0,42240.0
Maharashtra,Solapur,Solapur_Village_13,17.7899,76.0364,26000,4680,7800,4,Hub_4,10400.0,46800.0,57200.0,22880.0,45760.0
Maharashtra,Solapur,Solapur_Village_14,17.7999,76.0464,28000,5040,8400,4,Hub_4,11200.0,50400.0,61600.0,24640.0,49280.0
Maharashtra,Solapur,Solapur_Village_15,17.8099,76.05640000000001,30000,5400,9000,4,Hub_4,12000.0,54000.0,66000.0,26400.0,52800.0
Maharashtra,Solapur,Solapur_Village_16,17.8199,76.0664,32000,5760,9600,4,Hub_4,12800.0,57600.0,70400.0,28160.0,56320.0
Maharashtra,Solapur,Solapur_Village_17,17.829900000000002,76.0764,34000,6120,10200,4,Hub_4,13600.0,61200.0,74800.0,29920.0,59840.0
Maharashtra,Solapur,Solapur_Village_18,17.8399,76.08640000000001,36000,6480,10800,4,Hub_4,14400.0,64800.0,79200.0,31680.0,63360.0
Maharashtra,Solapur,Solapur_Village_19,17.8499,76.0964,38000,6840,11400,4,Hub_4,15200.0,68400.0,83600.0,33440.0,66880.0
Maharashtra,Solapur,Solapur_Village_20,17.8599,76.10640000000001,40000,7200,12000,4,Hub_4,16000.0,72000.0,88000.0,35200.0,70400.0
Maharashtra,Solapur,Solapur_Village_21,17.8699,76.1164,42000,7560,12600,4,Hub_4,16800.0,75600.0,92400.0,36960.0,73920.0
Maharashtra,Solapur,Solapur_Village_22,17.8799,76.1264,44000,7920,13200,4,Hub_4,17600.0,79200.0,96800.0,38720.0,77440.0
Maharashtra,Solapur,Solapur_Village_23,17.8899,76.13640000000001,46000,8280,13800,4,Hub_4,18400.0,82800.0,101200.0,40480.0,80960.0
Maharashtra,Solapur,Solapur_Village_24,17.8999,76.1464,48000,8640,14400,4,Hub_4,19200.0,86400.0,105600.0,42240.0,84480.0
Maharashtra,Solapur,Solapur_Village_25,17.9099,76.1564,50000,9000,15000,4,Hub_4,20000.0,90000.0,110000.0,44000.0,88000.0
Maharashtra,Solapur,Solapur_Village_26,17.919900000000002,76.16640000000001,52000,9360,15600,4,Hub_4,20800.0,93600.0,114400.0,45760.0,91520.0
Maharashtra,Solapur,Solapur_Village_27,17.9299,76.1764,54000,9720,16200,4,Hub_4,21600.0,97200.0,118800.0,47520.0,95040.0
Maharashtra,Solapur,Solapur_Village_28,17.9399,76.1864,56000,10080,16800,4,Hub_4,22400.0,100800.0,123200.0,49280.0,98560.0
Maharashtra,Solapur,Solapur_Village_29,17.9499,76.19640000000001,58000,10440,17400,4,Hub_4,23200.0,104400.0,127600.0,51040.0,102080.0
Maharashtra,Solapur,Solapur_Village_30,17.9599,76.2064,60000,10800,18000,4,Hub_4,24000.0,108000.0,132000.0,52800.0,105600.0
Maharashtra,Solapur,Solapur_Village_31,17.9699,76.21640000000001,62000,11160,18600,4,Hub_4,24800.0,111600.0,136400.0,54560.0,109120.0
Maharashtra,Solapur,Solapur_Village_32,17.9799,76.2264,64000,11520,19200,4,Hub_4,25600.0,115200.0,140800.0,56320.0,112640.0
Maharashtra,Solapur,Solapur_Village_33,17.9899,76.2364,66000,11880,19800,4,Hub_4,26400.0,118800.0,145200.0,58080.0,116160.0
Maharashtra,Solapur,Solapur_Village_34,17.9999,76.24640000000001,68000,12240,20400,4,Hub_4,27200.0,122400.0,149600.0,59840.0,119680.0
Maharashtra,Solapur,Solapur_Village_35,18.009900000000002,76.2564,70000,12600,21000,4,Hub_4,28000.0,126000.0,154000.0,61600.0,123200.0
Maharashtra,Solapur,Solapur_Village_36,18.0199,76.2664,72000,12960,21600,4,Hub_4,28800.0,129600.0,158400.0,63360.0,126720.0
Maharashtra,Solapur,Solapur_Village_37,18.0299,76.27640000000001,74000,13320,22200,4,Hub_4,29600.0,133200.0,162800.0,65120.0,130240.0
Maharashtra,Solapur,Solapur_Village_38,18.0399,76.2864,76000,13680,22800,4,Hub_4,30400.0,136800.0,167200.0,66880.0,133760.0
Maharashtra,Solapur,Solapur_Village_39,18.0499,76.2964,78000,14040,23400,4,Hub_4,31200.0,140400.0,171600.0,68640.0,137280.0
Maharashtra,Solapur,Solapur_Village_40,18.0599,76.30640000000001,80000,14400,24000,4,Hub_4,32000.0,144000.0,176000.0,70400.0,140800.0
Maharashtra,Solapur,Solapur_Village_41,18.0699,76.3164,82000,14760,24600,4,Hub_4,32800.0,147600.0,180400.0,72160.0,144320.0
Maharashtra,Solapur,Solapur_Village_42,18.079900000000002,76.3264,84000,15120,25200,4,Hub_4,33600.0,151200.0,184800.0,73920.0,147840.0
Maharashtra,Solapur,Solapur_Village_43,18.0899,76.33640000000001,86000,15480,25800,4,Hub_4,34400.0,154800.0,189200.0,75680.0,151360.0
Maharashtra,Solapur,Solapur_Village_44,18.0999,76.3464,88000,15840,26400,4,Hub_4,35200.0,158400.0,193600.0,77440.0,154880.0
Maharashtra,Solapur,Solapur_Village_45,18.1099,76.35640000000001,90000,16200,27000,4,Hub_4,36000.0,162000.0,198000.0,79200.0,158400.0
Maharashtra,Solapur,Solapur_Village_46,18.1199,76.3664,92000,16560,27600,4,Hub_4,36800.0,165600.0,202400.0,80960.0,161920.0
Maharashtra,Solapur,Solapur_Village_47,18.1299,76.3764,94000,16920,28200,4,Hub_4,37600.0,169200.0,206800.0,82720.0,165440.0
Maharashtra,Solapur,Solapur_Village_48,18.1399,76.38640000000001,96000,17280,28800,4,Hub_4,38400.0,172800.0,211200.0,84480.0,168960.0
Maharashtra,Solapur,Solapur_Village_49,18.1499,76.3964,98000,17640,29400,4,Hub_4,39200.0,176400.0,215600.0,86240.0,172480.0
Maharashtra,Solapur,Solapur_Village_50,18.1599,76.4064,100000,18000,30000,4,Hub_4,40000.0,180000.0,220000.0,88000.0,176000.0
Maharashtra,Mumbai,Mumbai_Village_1,19.086000000000002,72.88770000000001,40800,1050,2400,1,Hub_1,16320.0,10500.0,26820.0,10728.0,21456.0
Maharashtra,Mumbai,Mumbai_Village_2,19.096,72.8977,81600,2100,4800,1,Hub_1,32640.0,21000.0,53640.0,21456.0,42912.0
Maharashtra,Mumbai,Mumbai_Village_3,19.106,72.9077,122400,3150,7200,1,Hub_1,48960.0,31500.0,80460.0,32184.0,64368.0
Maharashtra,Mumbai,Mumbai_Village_4,19.116,72.91770000000001,163200,4200,9600,1,Hub_1,65280.0,42000.0,107280.0,42912.0,85824.0
Maharashtra,Mumbai,Mumbai_Village_5,19.126,72.9277,204000,5250,12000,1,Hub_1,81600.0,52500.0,134100.0,53640.0,107280.0
Maharashtra,Mumbai,Mumbai_Village_6,19.136,72.9377,244800,6300,14400,1,Hub_1,97920.0,63000.0,160920.0,64368.0,128736.0
Maharashtra,Mumbai,Mumbai_Village_7,19.146,72.9477,285600,7350,16800,1,Hub_1,114240.0,73500.0,187740.0,75096.0,150192.0
Maharashtra,Mumbai,Mumbai_Village_8,19.156,72.9577,326400,8400,19200,1,Hub_1,130560.0,84000.0,214560.0,85824.0,171648.0
Maharashtra,Mumbai,Mumbai_Village_9,19.166,72.96770000000001,367200,9450,21600,1,Hub_1,146880.0,94500.0,241380.0,96552.0,193104.0
Maharashtra,Mumbai,Mumbai_Village_10,19.176000000000002,72.9777,408000,10500,24000,1,Hub_1,163200.0,105000.0,268200.0,107280.0,214560.0
Maharashtra,Mumbai,Mumbai_Village_11,19.186,72.9877,448800,11550,26400,1,Hub_1,179520.0,115500.0,295020.0,118008.0,236016.0
Maharashtra,Mumbai,Mumbai_Village_12,19.196,72.99770000000001,489600,12600,28800,1,Hub_1,195840.0,126000.0,321840.0,128736.0,257472.0
Maharashtra,Mumbai,Mumbai_Village_13,19.206,73.0077,530400,13650,31200,1,Hub_1,212160.0,136500.0,348660.0,139464.0,278928.0
Maharashtra,Mumbai,Mumbai_Village_14,19.216,73.0177,571200,14700,33600,1,Hub_1,228480.0,147000.0,375480.0,150192.0,300384.0
Maharashtra,Mumbai,Mumbai_Village_15,19.226,73.02770000000001,612000,15750,36000,1,Hub_1,244800.0,157500.0,402300.0,160920.0,321840.0
Maharashtra,Mumbai,Mumbai_Village_16,19.236,73.0377,652800,16800,38400,1,Hub_1,261120.0,168000.0,429120.0,171648.0,343296.0
Maharashtra,Mumbai,Mumbai_Village_17,19.246000000000002,73.0477,693600,17850,40800,1,Hub_1,277440.0,178500.0,455940.0,182376.0,364752.0
Maharashtra,Mumbai,Mumbai_Village_18,19.256,73.05770000000001,734400,18900,43200,1,Hub_1,293760.0,189000.0,482760.0,193104.0,386208.0
Maharashtra,Mumbai,Mumbai_Village_19,19.266000000000002,73.0677,775200,19950,45600,1,Hub_1,310080.0,199500.0,509580.0,203832.0,407664.0
Maharashtra,Mumbai,Mumbai_Village_20,19.276,73.07770000000001,816000,21000,48000,1,Hub_1,326400.0,210000.0,536400.0,214560.0,429120.0
Maharashtra,Mumbai,Mumbai_Village_21,19.286,73.0877,856800,22050,50400,1,Hub_1,342720.0,220500.0,563220.0,225288.0,450576.0
Maharashtra,Mumbai,Mumbai_Village_22,19.296,73.0977,897600,23100,52800,1,Hub_1,359040.0,231000.0,590040.0,236016.0,472032.0
Maharashtra,Mumbai,Mumbai_Village_23,19.306,73.10770000000001,938400,24150,55200,1,Hub_1,375360.0,241500.0,616860.0,246744.0,493488.0
Maharashtra,Mumbai,Mumbai_Village_24,19.316,73.1177,979200,25200,57600,1,Hub_1,391680.0,252000.0,643680.0,257472.0,514944.0
Maharashtra,Mumbai,Mumbai_Village_25,19.326,73.1277,1020000,26250,60000,1,Hub_1,408000.0,262500.0,670500.0,268200.0,536400.0
Maharashtra,Mumbai,Mumbai_Village_26,19.336000000000002,73.13770000000001,1060800,27300,62400,1,Hub_1,424320.0,273000.0,697320.0,278928.0,557856.0
Maharashtra,Mumbai,Mumbai_Village_27,19.346,73.1477,1101600,28350,64800,1,Hub_1,440640.0,283500.0,724140.0,289656.0,579312.0
Maharashtra,Mumbai,Mumbai_Village_28,19.356,73.1577,1142400,29400,67200,1,Hub_1,456960.0,294000.0,750960.0,300384.0,600768.0
Maharashtra,Mumbai,Mumbai_Village_29,19.366,73.16770000000001,1183200,30450,69600,1,Hub_1,473280.0,304500.0,777780.0,311112.0,622224.0
Maharashtra,Mumbai,Mumbai_Village_30,19.376,73.1777,1224000,31500,72000,1,Hub_1,489600.0,315000.0,804600.0,321840.0,643680.0
Maharashtra,Mumbai,Mumbai_Village_31,19.386,73.1877,1264800,32550,74400,1,Hub_1,505920.0,325500.0,831420.0,332568.0,665136.0
Maharashtra,Mumbai,Mumbai_Village_32,19.396,73.1977,1305600,33600,76800,1,Hub_1,522240.0,336000.0,858240.0,343296.0,686592.0
Maharashtra,Mumbai,Mumbai_Village_33,19.406,73.2077,1346400,34650,79200,1,Hub_1,538560.0,346500.0,885060.0,354024.0,708048.0
Maharashtra,Mumbai,Mumbai_Village_34,19.416,73.21770000000001,1387200,35700,81600,1,Hub_1,554880.0,357000.0,911880.0,364752.0,729504.0
Maharashtra,Mumbai,Mumbai_Village_35,19.426000000000002,73.2277,1428000,36750,84000,1,Hub_1,571200.0,367500.0,938700.0,375480.0,750960.0
Maharashtra,Mumbai,Mumbai_Village_36,19.436,73.2377,1468800,37800,86400,1,Hub_1,587520.0,378000.0,965520.0,386208.0,772416.0
Maharashtra,Mumbai,Mumbai_Village_37,19.446,73.24770000000001,1509600,38850,88800,1,Hub_1,603840.0,388500.0,992340.0,396936.0,793872.0
Maharashtra,Mumbai,Mumbai_Village_38,19.456,73.2577,1550400,39900,91200,1,Hub_1,620160.0,399000.0,1019160.0,407664.0,815328.0
Maharashtra,Mumbai,Mumbai_Village_39,19.466,73.2677,1591200,40950,93600,1,Hub_1,636480.0,409500.0,1045980.0,418392.0,836784.0
Maharashtra,Mumbai,Mumbai_Village_40,19.476,73.27770000000001,1632000,42000,96000,1,Hub_1,652800.0,420000.0,1072800.0,429120.0,858240.0
Maharashtra,Mumbai,Mumbai_Village_41,19.486,73.2877,1672800,43050,98400,1,Hub_1,669120.0,430500.0,1099620.0,439848.0,879696.0
Maharashtra,Mumbai,Mumbai_Village_42,19.496000000000002,73.2977,1713600,44100,100800,1,Hub_1,685440.0,441000.0,1126440.0,450576.0,901152.0
Maharashtra,Mumbai,Mumbai_Village_43,19.506,73.30770000000001,1754400,45150,103200,1,Hub_1,701760.0,451500.0,1153260.0,461304.0,922608.0
Maharashtra,Mumbai,Mumbai_Village_44,19.516000000000002,73.3177,1795200,46200,105600,1,Hub_1,718080.0,462000.0,1180080.0,472032.0,944064.0
Maharashtra,Mumbai,Mumbai_Village_45,19.526,73.32770000000001,1836000,47250,108000,1,Hub_1,734400.0,472500.0,1206900.0,482760.0,965520.0
Maharashtra,Mumbai,Mumbai_Village_46,19.536,73.3377,1876800,48300,110400,1,Hub_1,750720.0,483000.0,1233720.0,493488.0,986976.0
Maharashtra,Mumbai,Mumbai_Village_47,19.546,73.3477,1917600,49350,112800,1,Hub_1,767040.0,493500.0,1260540.0,504216.0,1008432.0
Maharashtra,Mumbai,Mumbai_Village_48,19.556,73.35770000000001,1958400,50400,115200,1,Hub_1,783360.0,504000.0,1287360.0,514944.0,1029888.0
Maharashtra,Mumbai,Mumbai_Village_49,19.566,73.3677,1999200,51450,117600,1,Hub_1,799680.0,514500.0,1314180.0,525672.0,1051344.0
Maharashtra,Mumbai,Mumbai_Village_50,19.576,73.3777,2040000,52500,120000,1,Hub_1,816000.0,525000.0,1341000.0,536400.0,1072800.0
Karnataka,Bengaluru Urban,Bengaluru Urban_Village_1,12.9816,77.6046,25000,540,1800,2,Hub_2,10000.0,5400.0,15400.0,6160.0,12320.0
Karnataka,Bengaluru Urban,Bengaluru Urban_Village_2,12.9916,77.6146,50000,1080,3600,2,Hub_2,20000.0,10800.0,30800.0,12320.0,24640.0
Karnataka,Bengaluru Urban,Bengaluru Urban_Village_3,13.0016,77.6246,75000,1620,5400,2,Hub_2,30000.0,16200.0,46200.0,18480.0,36960.0
Karnataka,Bengaluru Urban,Bengaluru Urban_Village_4,13.0116,77.6346,100000,2160,7200,2,Hub_2,40000.0,21600.0,61600.0,24640.0,49280.0
Karnataka,Bengaluru Urban,Bengaluru Urban_Village_5,13.021600000000001,77.6446,125000,2700,9000,2,Hub_2,50000.0,27000.0,77000.0,30800.0,61600.0
Karnataka,Bengaluru Urban,Bengaluru Urban_Village_6,13.031600000000001,77.6546,150000,3240,10800,2,Hub_2,60000.0,32400.0,92400.0,36960.0,73920.0
Karnataka,Bengaluru Urban,Bengaluru Urban_Village_7,13.0416,77.6646,175000,3780,12600,2,Hub_2,70000.0,37800.0,107800.0,43120.0,86240.0
Karnataka,Bengaluru Urban,Bengaluru Urban_Village_8,13.0516,77.6746,200000,4320,14400,2,Hub_2,80000.0,43200.0,123200.0,49280.0,98560.0
Karnataka,Bengaluru Urban,Bengaluru Urban_Village_9,13.0616,77.6846,225000,4860,16200,2,Hub_2,90000.0,48600.0,138600.0,55440.0,110880.0
Karnataka,Bengaluru Urban,Bengaluru Urban_Village_10,13.0716,77.6946,250000,5400,18000,2,Hub_2,100000.0,54000.0,154000.0,61600.0,123200.0
Karnataka,Bengaluru Urban,Bengaluru Urban_Village_11,13.0816,77.7046,275000,5940,19800,2,Hub_2,110000.0,59400.0,169400.0,67760.0,135520.0
